編號,裁處書發文日期,資料來源,標題
1,2023-08-10,保險局,"台灣人壽保險股份有限公司公司治理運作之內部控制制度未能有效運作，且核有有礙健全經營之虞，依保險法第171條之1第4項規定核處罰鍰新臺幣（以下同）1,000萬元整，暨依同法第149條第1項規定予以糾正及相關處分。"
2,2023-08-10,銀行局,"中國信託金融控股股份有限公司及相關子公司之公司治理有重大缺失，內部控制制度未能有效運作，違反金融控股公司法第51條規定及其授權訂定之「金融控股公司及銀行業內部控制及稽核制度實施辦法」第3條第1項及第8條第1項及第2項規定，並有礙健全經營之虞，依金融控股公司法第60條第16款規定核處新臺幣(以下同)3,000萬元罰鍰，併依同法第54條第1項規定核處予以糾正，及依同條項第7款規定命貴公司自本裁處書送達翌日起，調降總經理陳OO(下稱陳總經理) 每月月薪30%，為期3個月，及調降專門委員張OO(下稱張員) 112年度所有薪酬50%，為期1年，併暫停貴公司申請轉投資6個月(不含對原有轉投資事業之增資或因組織架構調整產生之原有轉投資事業股權移轉)，屆期經本會認可改善情形後始得進行。"
3,2023-08-04,銀行局,"中國信託商業銀行前理財專員(下稱理專)挪用客戶款項、推介客戶短期間進行多筆交易及代客戶辦理網路銀行交易所涉缺失，核有違反銀行法第45條之1第1項及其授權訂定之「金融控股公司及銀行業內部控制及稽核制度實施辦法」第3條第1項、第8條第1項及第3項等規定，依同法第129條第7款規定，核處新臺幣(下同)1,000萬元罰鍰。"
4,2023-06-07,銀行局,"中國信託商業銀行辦理客戶臨櫃申請調高網路銀行轉帳及ATM提領日限額作業所涉缺失，核有違反銀行法第45條之1第1項及其授權訂定之「金融控股公司及銀行業內部控制及稽核制度實施辦法」第3條、第8條第3項規定，依同法第129條第7款規定，核處新臺幣(下同)2,000萬元罰鍰。"
5,2021-12-28,銀行局,"中國信託商業銀行南中壢分行及石牌分行前理財專員(下稱理專)管員及葉員與客戶間異常資金往來所涉缺失，核有違反銀行法第45條之1第1項規定，爰依同法第129條第7款規定，核處新臺幣(以下同)1,400萬元罰鍰。"
6,2021-03-23,保險局,台灣人壽保險股份有限公司辦理保險業務，核有違反保險法相關規定，依保險法規定核處罰鍰新臺幣320萬元，並依同法第149條第1項規定予以7項糾正。
7,2019-08-07,銀行局,中國信託商業銀行黎明分行前理財專員程○○（下稱程員）涉挪用客戶款項及與客戶間有異常資金往來所涉缺失，核有違反銀行法第45條之1第1項規定及有礙健全經營之虞，依行為時同法第129條第7款規定，核處新臺幣（下同）400萬元罰鍰，併依行為時同法第61條之1第1項規定應予糾正，及依同條項第3款規定命令貴行解除涉案程員職務
8,2017-12-05,銀行局,停止受處分人金○○於中國信託金融控股股份有限公司（下稱中信金控）執行法遵長職務三個月，並自本處分書送達次日起生效
9,2017-12-05,銀行局,停止受處分人吳○○於中國信託金融控股股份有限公司（下稱中信金控）執行總經理職務六個月，並自本處分書送達次日起生效
10,2017-12-05,銀行局,"中國信託金融控股股份有限公司對員工涉訟案件在無明確內部規範下，經董事會通過為員工墊付保釋金，相關監督管理、內部控制及法令遵循制度核有嚴重缺失，違反金融控股公司法第51條規定，且有礙健全經營之虞，依同法第60條第16款規定及第54條第1項規定，核處新臺幣1,000萬元罰鍰，並予以糾正"
11,2017-11-28,銀行局,中國信託商業銀行辦理資訊作業發生疏失，導致部分錄音資料滅失，核有未落實執行內部控制制度之缺失，違反銀行法第45條之1第1項規定，依同法第129條第7款規定，核處新臺幣200萬元罰鍰
12,2017-06-16,保險局,台灣人壽保險股份有限公司辦理保險業務，違反保險法相關規定，依保險法第171條之1第4項規定核處罰鍰新臺幣600萬元整
13,2016-09-19,證券期貨局,處中國信託綜合證券股份有限公司停止財務規劃及諮詢顧問業務3個月之處分，自105年10月1日至105年12月31日止。(金管證券字第1050039337號)
14,2016-09-19,證券期貨局,中國信託商業銀行有限公司違反信託業管理法令處分案。(金管證交罰字第1050039400號)
15,2016-09-12,銀行局,中國信託商業銀行辦理國際金融業務分行(下稱OBU)開戶作業及客戶財務資料審核作業，核有未妥適建立或未確實執行內部控制制度之缺失，違反銀行法第45條之1第1項規定，依同法第129條第7款規定，核處新臺幣600萬元罰鍰；另案關缺失有礙貴行健全經營之虞，併依銀行法第61條之1第1項規定，核處應予糾正，並依同條項第2款規定，自處分生效日起，限制貴行新承作隱含賣出外匯選擇權衍生性金融商品業務(含結構型商品業務)，但不包括與專業機構投資人及高淨值投資法人承作之交易、及既有客戶之停損交易，至本會認可缺失改善後，始得恢復承作
